artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Troy Gunner,1436479456,17,2c7t4,2,ERRANT,307,Playin',future
Synkro,1436499742,30,2c6rr,6,Northern Transmissions,356,Changes,future
Sbtrkt,1436334144,12,2c76f,1,THE VINYL VILLAIN,232,Sanctuary (feat. Jessie Ware and Sampha),future
Paxton Fettel,1436431776,151,28c97,3,Le Limonadier,339,Tripped Out,future
Disclosure,1436147351,34,2c5xb,1,Minted,341,Bang That (Don Rimini Chicago Version),future
Charles Murdoch,1436145737,379,1xtph,24,music is art,185,Dekire feat. Oscar Key Sung,future
Kastle,1436145742,133,1m1e4,5,music is art,189,Stay Forever,future
Toyboy & Robin,1436135293,31,2c5wj,1,Music Is My Life,275,Losing My Love (feat. Rothwell),future
Romare,1436982633,107,1tfz6,12,ERRANT,376,Taste of Honey (From the City),future
Jamie XX,1436985426,853,2c93r,8,Silver Soundz,252,Loud Places (John Talabot Remix),future
Disclosure,1436915227,1215,2c5m5,22,strictlysocial,394,Holding On (Julio Bashmore's Elevated Mix),future
Disclosure,1436964573,47848,1x76v,71,Muros de Absenta,283,You & Me feat. Eliza Doolittle (Flume Remix),future
Throwing Snow,1436868466,31,2c7b2,4,SERIALGK,277,Clasp,future
Maribou State,1436885556,336,2bct5,16,Decoder Magazine,223,Wallflower,future
Gold Falls,1436718526,10,2c99s,1,Sound Injections,176,Terra (Forthcoming Collection 10.07.15.),future
Julio Bashmore,1436738502,1693,18n6d,24,Minted,371,Battle For Middle You,future
Ike Release,1436623662,15,2bse8,6,XLR8R,570,Dance Equations (SMRT001 clips),future
Mieux,1436638512,5,2c94d,1,Burl Veneer's Music Tumblr,276,Daddy,future
Sbtrkt,1436334163,17,2c76k,1,THE VINYL VILLAIN,207,Hold On (feat. Sampha),future
Doctor Jeep,1434573776,7,2bxg9,1,Disco Droppings ,227,Angel (GREAZUS Remix),future
Maribou State,1434624126,70,2bxs4,1,The Mahogany Blog,220,Steal (feat. Holly Walker),future
Joor Nitth,1434520567,33,2bt70,2,ACIDTED,255,Tøng Longuë,future
Maribou State,1434530112,15,2bx17,1,SERIALGK,352,'The Clown' feat. Pedestrian (John Beltran Remix),future
Hackman,1434417679,13,2bwab,1,When We Dip,415,Semibreves (Epiphylogentically Enumerated Reset By KiNK),future
DIVERSA,1434289772,26,2bvm3,1,Dancing Astronaut,317,Burning House,future
SBTRKT,1434319131,99,2aeag,12,Inyourspeakers Media,154,Renegade,future
Sau Poler,1434125797,26,2bv1m,1,XLR8R,343,Bercy (Xxxy Remix),future
DIVERSA,1434289754,21,2bvkz,1,Dancing Astronaut,219,Crowning Touch,future
Dark Sky,1435856418,14,2c4s2,2,Human Drizzle,339,Voyages (Francis Inferno Orchestra remix),future
Jamie XX,1436132965,40,2c5w8,1,The Jackplug,335,Loud Places Feat. Romy (Island Riot Edit),future
Lapalux,1435628992,3594,29q40,25,music is art,349,Don't Mean A Thing,future
Disclosure,1435756539,284,2br2y,2,Cause=Time,250,Holding On Feat. Gregory Porter (C&T Remix),future
Charles Murdoch,1435165860,53,2bz5p,5,Modular Magazine,261,Straws,future
Deadboy,1435506804,18,2aqk0,4,Ants in My Trance,317,White Moon Garden,future
Jamie XX,1434910036,4370,2bxh4,7,Indie Shuffle,221,Just Saying (Samuel Proffitt Remix),future
Jamie xx,1435076941,3002,2arpy,12,When We Dip,291,Loud Places (feat. Romy) (Eekkoo Edit),future
Gerry Read,1434711441,15,2byec,1,Sound Injections,301,Around The Smile feat. Billie Holiday,future
Maribou State,1434881646,1726,29eb3,27,Oh Fancy!,267,Rituals,future
headbirds,1434474074,6,2bwn9,1,Neonized Magazine,233,Septrion,future
Wen,1433867417,4,2bryh,1,FACT,262,She Giv,future
GEOTHEORY,1433886546,40,2bn5s,3,Modular Magazine,244,Don't Stop,future
Jamie xx,1433620577,18,2bqsp,1,Ants in My Trance,291,Gosh,future
Maribou State,1433780072,9,2brbd,1,Clash Magazine,192,'The Clown' feat. Pedestrian (Gang Colours Remix),future
Jamie XX,1433428282,9383,2b8wy,16,Lautstark,177,I Know There's Gonna Be (Good Times)(feat. Young Thug),future
SBTRKT,1433368924,329,2agpc,11,No Country For New Nashville,187,RELICS feat. TEV'N,future
Maths Time Joy,1433400969,27,2bpac,1,Abduction Radiation,272,Castles feat. Tabanca,future
Bodhi,1433334089,15,2bnsh,1,The House of Coxhead,160,88 (Shadow Child x S.P.Y Remix),future
Sau Poler,1433342951,9,2bnw5,1,Clash Magazine,285,Bercy (My Panda Shall Fly Jam),future
Maribou State,1434058507,1469,2b14h,21,HEY,248,'The Clown' feat. Pedestrian,future
